name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
chicago,2016-03-12,59,38,47.1,59,36.6,46.4,39.3,75,0,0,0,,0,0,,10.5,75.2,1020.4,85.9,6.8,,,,,2016-03-12T06:06:28,2016-03-12T17:54:20,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2016-03-13,48.9,43.7,46.4,46,39.8,42.5,43.7,90.7,0.676,100,79.17,rain,0,0,22.3,16,54.5,1009.1,100,4.6,,,,,2016-03-13T07:04:47,2016-03-13T18:55:29,0.16,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2016-03-14,52.8,44.1,47.2,52.8,39.7,45.2,43.3,87,0.11,100,25,rain,0,0,,9,26.2,1006.2,98.5,7.3,,,,,2016-03-14T07:03:05,2016-03-14T18:56:37,0.2,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2016-03-15,61.2,46.6,53,61.2,44.4,51.7,46.7,79.7,0.071,100,8.33,rain,0,0,31.9,23.2,100.9,1004.9,95.5,6.6,,,,,2016-03-15T07:01:23,2016-03-15T18:57:45,0.25,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2016-03-16,57.1,48.2,52.5,57.1,40.4,50.2,37.3,59,0.221,100,41.67,rain,0,0,49.7,33.7,246.9,1001.6,77.1,9.4,,,,,2016-03-16T06:59:41,2016-03-16T18:58:53,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2016-03-17,55.6,42.2,49,55.6,35.2,45.6,27.1,43.6,0,0,0,,0,0,35.2,23.4,262.3,1010.8,29,9.9,,,,,2016-03-17T06:57:59,2016-03-17T19:00:01,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2016-03-18,46.1,34.4,40.5,43.2,26.9,34.3,27.9,61.1,0,0,0,,0,0,24.9,16.5,346,1018.2,51.1,9.9,,,,,2016-03-18T06:56:16,2016-03-18T19:01:09,0.33,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2016-03-19,44.5,35.4,38.9,40.4,28.8,33.2,29.3,68.8,0,0,0,,0,0,,12.7,40,1021.8,92,9.9,,,,,2016-03-19T06:54:34,2016-03-19T19:02:16,0.37,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2016-03-20,43.4,32.4,38.1,37.8,24.1,31.9,25.1,60.4,0,0,0,,0,0,25.3,16.1,25.7,1022.3,61.1,9.9,,,,,2016-03-20T06:52:51,2016-03-20T19:03:24,0.4,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
chicago,2016-03-21,49.2,31.7,40.6,46,26.2,36.8,23.4,51.8,0,0,0,,0,0,,9.4,254.4,1020.3,46.7,9.9,,,,,2016-03-21T06:51:08,2016-03-21T19:04:31,0.44,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
